Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
Logistic Regression,0.9873385343394296,0.9825174825174825,0.9943382873319179,0.9883925430882871,0.605
KNN,0.8898836168307968,0.858446519524618,0.9542344892663364,0.9038096302089152,0.067
Random Forest,0.9962910858166006,0.9943635509628934,0.9988204765274828,0.9965870307167235,71.593
MLP,0.990152193375112,0.9878105954055321,0.9941023826374145,0.9909465020576131,261.953
